k,SSE
1,79554.0
2,54184.81903412371
3,44302.15333044078
4,37932.990937073795
5,33498.61356524572
6,29673.80329643042
7,26671.55971559275
8,24835.810017549356
9,23294.10198367262
10,22009.75835919544
11,20781.3804194446
12,19966.032984526737
13,19160.01302280787
14,18490.971675185763
15,17933.237207572354
16,17257.845813251715
17,16761.36598192822
18,16297.065641403353
19,15896.338405516446
20,15545.181884007703
25,13955.160753940801
30,12733.86535773673
35,11776.432017579724
40,11076.048286153013
